iter	Passed	Remaining
542	4972	4185
543	4975	4170
544	4979	4157
545	4982	4143
546	4986	4129
547	4989	4115
548	4992	4101
549	4996	4087
550	4999	4073
551	5001	4059
552	5005	4045
553	5008	4031
554	5011	4018
555	5014	4004
556	5017	3990
557	5021	3977
558	5024	3963
559	5027	3950
560	5030	3936
561	5033	3923
562	5037	3910
563	5040	3896
564	5045	3884
565	5049	3871
566	5052	3858
567	5056	3845
568	5060	3832
569	5064	3820
570	5067	3807
571	5071	3794
572	5074	3781
573	5077	3768
574	5081	3755
575	5085	3743
576	5089	3730
577	5093	3718
578	5096	3705
579	5101	3694
580	5106	3682
581	5110	3670
582	5113	3657
583	5117	3645
584	5120	3632
585	5122	3619
586	5128	3608
587	5131	3595
588	5135	3583
589	5142	3573
590	5151	3565
591	5158	3555
592	5172	3549
593	5177	3538
594	5181	3526
595	5184	3514
596	5189	3503
597	5193	3491
598	5197	3479
599	5203	3469
600	5207	3457
601	5213	3447
602	5218	3435
603	5223	3424
604	5226	3412
605	5229	3400
606	5234	3388
607	5244	3381
608	5248	3369
609	5252	3358
610	5256	3346
611	5266	3338
612	5274	3329
613	5278	3318
614	5282	3306
615	5286	3295
616	5290	3284
617	5295	3273
618	5300	3262
619	5303	3250
620	5310	3240
621	5314	3229
622	5319	3219
623	5325	3208
624	5334	3200
625	5337	3189
626	5340	3177
627	5343	3165
628	5347	3153
629	5350	3142
630	5353	3130
631	5356	3118
632	5361	3108
633	5368	3098
634	5373	3088
635	5378	3078
636	5387	3069
637	5391	3058
638	5395	3048
639	5405	3040
640	5409	3029
641	5412	3018
642	5415	3006
643	5418	2995
644	5422	2984
645	5428	2974
646	5436	2965
647	5440	2955
648	5451	2948
649	5454	2937
650	5458	2926
651	5462	2915
652	5465	2904
653	5469	2893
654	5472	2882
655	5476	2871
656	5480	2861
657	5485	2851
658	5489	2840
659	5494	2830
660	5498	2819
661	5504	2810
662	5507	2799
663	5511	2788
664	5515	2778
665	5518	2767
666	5524	2758
667	5529	2748
668	5534	2738
669	5539	2728
670	5542	2717
671	5545	2706
672	5549	2696
673	5552	2685
674	5561	2677
675	5565	2667
676	5569	2657
677	5572	2646
678	5576	2636
679	5580	2626
680	5584	2615
681	5588	2605
682	5593	2595
683	5596	2585
684	5599	2575
685	5602	2564
686	5605	2553
687	5617	2547
688	5623	2538
689	5631	2529
690	5639	2521
691	5650	2515
692	5655	2505
693	5659	2495
694	5664	2485
695	5668	2475
696	5671	2465
697	5674	2455
698	5678	2445
699	5685	2436
700	5688	2426
701	5691	2416
702	5695	2406
703	5699	2396
704	5703	2386
705	5707	2376
706	5711	2366
707	5716	2357
708	5720	2347
709	5728	2339
710	5731	2329
711	5739	2321
712	5745	2312
713	5751	2303
714	5754	2293
715	5758	2284
716	5764	2275
717	5768	2265
718	5772	2256
719	5780	2247
720	5784	2238
721	5788	2228
722	5792	2219
723	5796	2209
724	5803	2201
725	5809	2192
726	5817	2184
727	5822	2175
728	5826	2165
729	5831	2156
730	5844	2150
731	5848	2141
732	5859	2134
733	5864	2125
734	5881	2120
735	5901	2116
736	5949	2122
737	5954	2113
738	5966	2107
739	5972	2098
740	5978	2089
741	5995	2084
742	6002	2076
743	6008	2067
744	6012	2058
745	6017	2048
746	6031	2042
747	6039	2034
748	6049	2027
749	6055	2018
750	6061	2009
751	6068	2001
752	6074	1992
753	6079	1983
754	6086	1975
755	6095	1967
756	6104	1959
757	6111	1951
758	6115	1941
759	6120	1932
760	6125	1923
761	6157	1923
762	6163	1914
763	6167	1905
764	6171	1895
765	6176	1886
766	6181	1877
767	6186	1868
768	6194	1860
769	6197	1851
770	6202	1842
771	6207	1833
772	6212	1824
773	6216	1815
774	6219	1805
775	6223	1796
776	6228	1787
777	6232	1778
778	6236	1769
779	6240	1760
780	6245	1751
781	6250	1742
782	6255	1733
783	6260	1724
784	6265	1715
785	6271	1707
786	6276	1698
787	6282	1690
788	6289	1682
789	6294	1673
790	6300	1664
791	6305	1655
792	6310	1647
793	6316	1638
794	6321	1630
795	6325	1621
796	6329	1612
797	6332	1602
798	6336	1594
799	6342	1585
800	6346	1576
801	6350	1567
802	6355	1559
803	6360	1550
804	6365	1541
805	6372	1533
806	6379	1525
807	6385	1517
808	6404	1512
809	6409	1503
810	6415	1495
811	6420	1486
812	6424	1477
813	6429	1469
814	6432	1460
815	6445	1453
816	6449	1444
817	6454	1436
818	6458	1427
819	6464	1418
820	6467	1410
821	6471	1401
822	6475	1392
823	6479	1384
824	6484	1375
825	6497	1368
826	6505	1360
827	6511	1352
828	6518	1344
829	6524	1336
830	6528	1327
831	6534	1319
832	6540	1311
833	6581	1310
834	6585	1301
835	6589	1292
836	6593	1284
837	6597	1275
838	6606	1267
839	6609	1258
840	6614	1250
841	6621	1242
842	6624	1233
843	6626	1224
844	6630	1216
845	6634	1207
846	6637	1199
847	6641	1190
848	6644	1181
849	6647	1173
850	6653	1164
851	6656	1156
852	6659	1147
853	6663	1139
854	6667	1130
855	6671	1122
856	6674	1113
857	6676	1105
858	6686	1097
859	6690	1089
860	6693	1080
861	6697	1072
862	6702	1063
863	6706	1055
864	6709	1047
865	6780	1049
866	6796	1042
867	6801	1034
868	6820	1028
869	6823	1019
870	6828	1011
871	6832	1002
872	6843	995
873	6862	989
874	6869	981
875	6873	972
876	6876	964
877	6880	956
878	6884	947
879	6888	939
880	6892	930
881	6901	923
882	6905	915
883	6909	906
884	6913	898
885	6916	889
886	6920	881
887	6923	873
888	6927	864
889	6931	856
890	6946	849
891	6949	841
892	6953	833
893	6957	824
894	6959	816
895	6962	808
896	6965	799
897	6969	791
898	6973	783
899	6976	775
900	6980	767
901	6984	758
902	6988	750
903	6991	742
904	6994	734
905	6998	726
906	7002	718
907	7005	709
908	7011	701
909	7021	694
910	7037	687
911	7042	679
912	7045	671
913	7048	663
914	7052	655
915	7066	647
916	7070	640
917	7075	632
918	7078	623
919	7081	615
920	7085	607
921	7087	599
922	7091	591
923	7105	584
924	7108	576
925	7113	568
926	7121	560
927	7124	552
928	7135	545
929	7139	537
930	7148	529
931	7151	521
932	7162	514
933	7167	506
934	7174	498
935	7180	490
936	7184	483
937	7192	475
938	7196	467
939	7208	460
940	7211	452
941	7215	444
942	7223	436
943	7227	428
944	7230	420
945	7237	413
946	7242	405
947	7248	397
948	7253	389
949	7257	381
950	7267	374
951	7271	366
952	7275	358
953	7283	351
954	7295	343
955	7300	336
956	7305	328
957	7313	320
958	7317	312
959	7320	305
960	7322	297
961	7325	289
962	7328	281
963	7343	274
964	7347	266
965	7351	258
966	7355	250
967	7358	243
968	7363	235
969	7366	227
970	7378	220
971	7382	212
972	7387	204
973	7390	197
974	7394	189
975	7409	182
976	7414	174
977	7418	166
978	7424	159
979	7429	151
980	7435	144
981	7439	136
982	7451	128
983	7458	121
984	7461	113
985	7465	105
986	7469	98
987	7473	90
988	7478	83
989	7483	75
990	7487	68
991	7493	60
992	7502	52
993	7513	45
994	7518	37
995	7523	30
996	7528	22
997	7532	15
998	7537	7
999	7541	0
